hidden node,steps,surrogate scale,reg loss,epochs,learning rate,loss,running time,train accuracy,test_accuracy
150,70,80.0,0.0001,30,0.0002,2.3025848865509033,325.26,10.0,10.02
150,70,80.0,1e-06,30,0.0002,0.3364681198428839,323.98,89.53,85.97
150,70,120.0,1e-05,30,0.0002,0.47957059257050866,327.76,86.03,83.72
150,70,120.0,0.0001,30,0.0002,2.3025848865509033,327.59,10.0,10.02
150,70,120.0,1e-06,30,0.0002,0.35358793243893194,327.53,88.85,85.62
150,130,100.0,1e-05,30,0.0002,0.4720610033752572,537.83,86.22,84.21
150,130,100.0,0.0001,30,0.0002,2.3025848865509033,537.07,10.0,10.02
150,130,100.0,1e-06,30,0.0002,0.34627737970943123,537.67,89.09,85.87
150,130,80.0,1e-05,30,0.0002,0.45498190973049557,537.5,86.95,84.39
150,130,80.0,0.0001,30,0.0002,2.3025848865509033,539.66,10.0,10.02
150,130,80.0,1e-06,30,0.0002,0.3402111741085338,538.93,89.39,85.74
150,130,120.0,1e-05,30,0.0002,0.46784968317573905,539.15,86.34,84.29
150,130,120.0,0.0001,30,0.0002,2.3025848865509033,538.26,10.0,10.02
150,130,120.0,1e-06,30,0.0002,0.35545764793442863,538.48,88.74,85.51
