hidden node,steps,surrogate scale,epochs,learning rate,reg loss,loss,running time,train accuracy,test_accuracy
250,75,110,250,0.0002,2.00E-06,0.074932302,5143.77,99.94,67.92
250,75,110,250,0.0002,3.00E-06,0.202512795,5313.47,98.89,67.82
250,125,100,250,0.0002,1.00E-06,0.115487201,5951.24,99.79,63.72
250,125,100,250,0.0002,2.00E-06,0.06337767,5887.23,99.97,61.77
250,125,100,250,0.0002,3.00E-06,0.151608077,6045.96,99.62,59.81
250,125,90,250,0.0002,1.00E-06,0.123557657,5952.31,99.65,60.06
250,125,90,250,0.0002,2.00E-06,0.06239809,5997.16,99.99,62.79
250,125,90,250,0.0002,3.00E-06,0.168730031,6005.27,99.14,60.3
250,125,110,250,0.0002,1.00E-06,0.127561508,5997.33,99.67,63.18
250,125,110,250,0.0002,2.00E-06,0.07318125,6016.73,99.96,63.82
250,125,110,250,0.0002,3.00E-06,0.179577774,6029.53,98.64,61.38
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
